RefID,VegID,CAS,LDfrac,J-rating,Veg Description,ClassIDPlus,Comments,Comments2
Guenther2012,GFBtr,16,0.2,4,default btree,16,class16 formaldehyde  et al.,
Guenther2012,GFHerb,17,0.8,4,default grass,17,class17 Methacrolein and other ,
Guenther2012,GFShrub,17,0.8,4,default shrub,17,class17 Methacrolein and other ,
Guenther2012,GFNtr,17,0.8,4,default btree,17,class17 Methacrolein and other ,
Guenther2012,GFCrop,17,0.8,4,default ntree,17,class17 Methacrolein and other ,
Guenther2012,GFBtr,17,0.8,4,default btree,17,class17 Methacrolein and other ,
Guenther2012,GFHerb,18,0.1,4,default grass,18,class18 methyl iodide et al,
Guenther2012,GFShrub,18,0.1,4,default shrub,18,class18 methyl iodide et al,
Guenther2012,GFNtr,18,0.1,4,default btree,18,class18 methyl iodide et al,
Guenther2012,GFCrop,18,0.1,4,default ntree,18,class18 methyl iodide et al,
Guenther2012,GFBtr,18,0.1,4,default btree,18,class18 methyl iodide et al,
Guenther2012,GFHerb,19,1,4,default grass,19,class19 carbon monoxide,
Guenther2012,GFShrub,19,1,4,default shrub,19,class19 carbon monoxide,
Guenther2012,GFNtr,19,1,4,default btree,19,class19 carbon monoxide,
Guenther2012,GFCrop,19,1,4,default ntree,19,class19 carbon monoxide,
Guenther2012,GFBtr,19,1,4,default btree,19,class19 carbon monoxide,
Guenther2012,GFHerb,20,0,4,default grass,20,class20 nitric oxide,
Guenther2012,GFShrub,20,0,4,default shrub,20,class20 nitric oxide,
Guenther2012,GFNtr,20,0,4,default btree,20,class20 nitric oxide,
Guenther2012,GFCrop,20,0,4,default ntree,20,class20 nitric oxide,
Guenther2012,GFBtr,20,0,4,default btree,20,class20 nitric oxide,
Guenther2019b,16757,1,1,4,Fern,1,default fern,
Guenther2019b,27341,1,1,4,Other Division vegetation,1,default other,
Guenther2019b,18435,1,1,4,Gymnosperm tree,1,default gymnosperm,
Guenther2019b,12887,1,1,4,Dicot tree,1,default dicot,
Guenther2019b,42336,1,1,4,Other Crops,1,default crop,
Guenther2019b,42247,1,1,4,Unknown shrubs,1,default shrub,
Guenther2019b,39869,1,1,4,Unknown vegetation,1,default unknown,
Guenther2019b,25816,1,1,4,Monocot tree,1,default monocot,
Guenther2019b,10079,1,1,4,Cool C3 Grass,1,default grass,
Guenther2019b,39869,2,1,4,Unknown vegetation,2,default unknown,
Guenther2019b,42247,2,1,4,Unknown shrubs,2,default shrub,
Guenther2019b,42336,2,1,4,Other Crops,2,default crop,
Guenther2019b,18435,2,1,4,Gymnosperm tree,2,default gymnosperm,
Guenther2019b,16757,2,1,4,Fern,2,default fern,
Guenther2019b,27341,2,1,4,Other Division vegetation,2,default other,
Guenther2019b,10079,2,1,4,Cool C3 Grass,2,default grass,
Guenther2019b,25816,2,1,4,Monocot tree,2,default monocot,
