gridID,TreeFrac,CropFrac,ShrubFrac,HerbFrac
187,0.0000,0.0000,0.0000,0.0000
188,0.0000,0.0000,0.0000,0.0000
189,0.0000,0.0000,0.0000,0.0000
190,0.0000,0.0000,0.0000,0.0000
191,0.0000,0.0000,0.0000,0.0000
192,0.0000,0.0000,0.0000,0.0000
193,0.0000,0.0000,0.0000,0.0000
194,0.0000,0.0000,0.0000,0.0000
195,0.0000,0.0000,0.0000,0.0000
196,0.0244,0.0001,0.0039,0.0020
197,0.0089,0.0000,0.0012,0.0008
198,0.0000,0.0000,0.0000,0.0000
199,0.0045,0.0021,0.0062,0.0042
200,0.3060,0.0778,0.0971,0.0758
201,0.3977,0.0867,0.1755,0.1975
202,0.3691,0.0235,0.2448,0.2448
203,0.2673,0.0109,0.3362,0.2896
204,0.2146,0.0105,0.3387,0.3444
205,0.1609,0.0223,0.3623,0.3412
206,0.1538,0.0191,0.2923,0.4384
207,0.1250,0.0275,0.2821,0.4654
208,0.0758,0.0747,0.2701,0.4310
209,0.0361,0.0897,0.2290,0.4750
210,0.0246,0.0689,0.3455,0.3217
211,0.0104,0.0336,0.2044,0.4163
212,0.0331,0.0277,0.3067,0.2784
213,0.0241,0.0420,0.2882,0.2907
214,0.1219,0.0311,0.3958,0.2409
215,0.3085,0.0597,0.1938,0.3224
216,0.1571,0.0749,0.2249,0.4233
217,0.3762,0.1122,0.1273,0.2575
218,0.4433,0.2443,0.0639,0.0910
219,0.1957,0.5831,0.0414,0.1032
220,0.1217,0.6529,0.0419,0.1066
221,0.1692,0.5782,0.0470,0.1119
222,0.1965,0.4891,0.0393,0.0866
223,0.0034,0.0005,0.0086,0.0087
224,0.0000,0.0000,0.0000,0.0000
225,0.0000,0.0000,0.0000,0.0000
226,0.0000,0.0000,0.0000,0.0000
227,0.0000,0.0000,0.0000,0.0000
228,0.0000,0.0000,0.0000,0.0000
229,0.0000,0.0000,0.0000,0.0000
230,0.0000,0.0000,0.0000,0.0000
231,0.0000,0.0000,0.0000,0.0000
232,0.0000,0.0000,0.0000,0.0000
233,0.0000,0.0000,0.0000,0.0000
234,0.0000,0.0000,0.0000,0.0000
235,0.0000,0.0000,0.0000,0.0000
236,0.0000,0.0000,0.0000,0.0000
237,0.0000,0.0000,0.0000,0.0000
238,0.0000,0.0000,0.0000,0.0000
239,0.0000,0.0000,0.0000,0.0000
240,0.0000,0.0000,0.0000,0.0000
241,0.0000,0.0000,0.0000,0.0000
242,0.0000,0.0000,0.0000,0.0000
243,0.0000,0.0000,0.0000,0.0000
244,0.0000,0.0000,0.0000,0.0000
245,0.0000,0.0000,0.0000,0.0000
246,0.0000,0.0000,0.0000,0.0000
247,0.0000,0.0000,0.0000,0.0000
248,0.0000,0.0000,0.0004,0.0006
249,0.0874,0.0115,0.0350,0.0312
250,0.2433,0.2218,0.0618,0.0749
251,0.2398,0.3827,0.0505,0.1072
252,0.3669,0.1119,0.0726,0.1140
253,0.4988,0.0041,0.0514,0.0392
254,0.5507,0.0076,0.0906,0.0618
255,0.1172,0.0116,0.0299,0.0229
256,0.0000,0.0000,0.0000,0.0000
257,0.0000,0.0000,0.0000,0.0000
258,0.0000,0.0000,0.0000,0.0000
259,0.0000,0.0000,0.0000,0.0000
260,0.0000,0.0000,0.0000,0.0000
261,0.0000,0.0000,0.0000,0.0000
262,0.0000,0.0000,0.0000,0.0000
263,0.0000,0.0000,0.0000,0.0000
264,0.0000,0.0000,0.0000,0.0000
265,0.0000,0.0000,0.0000,0.0000
266,0.0000,0.0000,0.0000,0.0000
267,0.0000,0.0000,0.0000,0.0000
268,0.0000,0.0000,0.0000,0.0000
269,0.0000,0.0000,0.0000,0.0000
270,0.0000,0.0000,0.0000,0.0000
271,0.0000,0.0000,0.0000,0.0000
272,0.0000,0.0000,0.0000,0.0000
273,0.0000,0.0000,0.0000,0.0000
274,0.0000,0.0000,0.0000,0.0000
275,0.0000,0.0000,0.0000,0.0000
276,0.0000,0.0000,0.0000,0.0000
277,0.0000,0.0000,0.0000,0.0000
278,0.0000,0.0000,0.0000,0.0000
279,0.0000,0.0000,0.0000,0.0000
280,0.0000,0.0000,0.0000,0.0000
281,0.0000,0.0000,0.0000,0.0000
282,0.0000,0.0000,0.0000,0.0000
283,0.1843,0.1302,0.0198,0.0283
284,0.0958,0.1324,0.0375,0.0520
285,0.0524,0.0044,0.0113,0.0113
286,0.0000,0.0000,0.0000,0.0000
287,0.0000,0.0000,0.0000,0.0000
288,0.0000,0.0000,0.0000,0.0000
289,0.0000,0.0000,0.0000,0.0000
290,0.0000,0.0000,0.0000,0.0000
291,0.0000,0.0000,0.0000,0.0000
292,0.0000,0.0000,0.0000,0.0000
293,0.0000,0.0000,0.0000,0.0000
294,0.0000,0.0000,0.0000,0.0000
295,0.0000,0.0000,0.0000,0.0000
296,0.0000,0.0000,0.0000,0.0000
297,0.0000,0.0000,0.0000,0.0000
298,0.0000,0.0000,0.0000,0.0000
299,0.0000,0.0000,0.0000,0.0000
300,0.0000,0.0000,0.0000,0.0000
301,0.0000,0.0000,0.0000,0.0000
