EcoTypeID,VegID,HerbSpecFrac
3306,GFHerb,1
3307,GFHerb,1
3308,GFHerb,1
3309,GFHerb,1
3310,GFHerb,1
3311,GFHerb,1
3312,GFHerb,1
3313,GFHerb,1
3314,GFHerb,1
3315,GFHerb,1
3316,GFHerb,1
3317,GFHerb,1
3318,GFHerb,1
3319,GFHerb,1
3320,GFHerb,1
3321,GFHerb,1
3322,GFHerb,1
3323,GFHerb,1
3324,GFHerb,1
3325,GFHerb,1
3326,GFHerb,1
3327,GFHerb,1
3328,GFHerb,1
3329,GFHerb,1
3330,GFHerb,1
3331,GFHerb,1
3332,GFHerb,1
3333,GFHerb,1
3334,GFHerb,1
3335,GFHerb,1
3336,GFHerb,1
3337,GFHerb,1
3338,GFHerb,1
3339,GFHerb,1
3340,GFHerb,1
3342,GFHerb,1
3343,GFHerb,1
3344,GFHerb,1
3346,GFHerb,1
3347,GFHerb,1
3348,GFHerb,1
3349,GFHerb,1
3350,GFHerb,1
3351,GFHerb,1
3352,GFHerb,1
3353,GFHerb,1
3354,GFHerb,1
3355,GFHerb,1
3356,GFHerb,1
3357,GFHerb,1
3358,GFHerb,1
3359,GFHerb,1
3361,GFHerb,1
3362,GFHerb,1
3363,GFHerb,1
3364,GFHerb,1
3365,GFHerb,1
3366,GFHerb,1
3367,GFHerb,1
3368,GFHerb,1
3369,GFHerb,1
3370,GFHerb,1
3371,GFHerb,1
3372,GFHerb,1
3373,GFHerb,1
3374,GFHerb,1
3375,GFHerb,1
3376,GFHerb,1
3377,GFHerb,1
3378,GFHerb,1
3379,GFHerb,1
3380,GFHerb,1
3381,GFHerb,1
3382,GFHerb,1
3383,GFHerb,1
3384,GFHerb,1
3385,GFHerb,1
3386,GFHerb,1
3387,GFHerb,1
3389,GFHerb,1
3390,GFHerb,1
3391,GFHerb,1
3392,GFHerb,1
3393,GFHerb,1
3394,GFHerb,1
3395,GFHerb,1
3396,GFHerb,1
3397,GFHerb,1
3398,GFHerb,1
3399,GFHerb,1
3400,GFHerb,1
3401,GFHerb,1
3402,GFHerb,1
3403,GFHerb,1
3405,GFHerb,1
3406,GFHerb,1
3407,GFHerb,1
3408,GFHerb,1
3409,GFHerb,1
3410,GFHerb,1
3411,GFHerb,1
3412,GFHerb,1
3413,GFHerb,1
3414,GFHerb,1
3415,GFHerb,1
3416,GFHerb,1
3417,GFHerb,1
3418,GFHerb,1
3419,GFHerb,1
3420,GFHerb,1
3421,GFHerb,1
3422,GFHerb,1
3423,GFHerb,1
3425,GFHerb,1
3426,GFHerb,1
3428,GFHerb,1
3429,GFHerb,1
3430,GFHerb,1
3433,GFHerb,1
3434,GFHerb,1
3435,GFHerb,1
3436,GFHerb,1
3437,GFHerb,1
3438,GFHerb,1
3439,GFHerb,1
3440,GFHerb,1
3442,GFHerb,1
3443,GFHerb,1
3444,GFHerb,1
3446,GFHerb,1
