gridID,EcotypeID,EcotypeFrac
1,-999,1.0000
2,-999,1.0000
3,-999,1.0000
4,-999,1.0000
5,-999,1.0000
6,-999,1.0000
7,-999,1.0000
8,-999,1.0000
9,-999,1.0000
10,-999,1.0000
11,-999,1.0000
12,-999,1.0000
13,-999,1.0000
14,-999,1.0000
15,-999,1.0000
16,-999,1.0000
17,-999,1.0000
18,-999,1.0000
19,-999,1.0000
20,-999,1.0000
21,-999,1.0000
22,-999,1.0000
23,-999,1.0000
24,-999,1.0000
25,-999,1.0000
26,-999,1.0000
27,-999,1.0000
28,-999,1.0000
29,-999,1.0000
30,-999,1.0000
31,-999,1.0000
32,-999,1.0000
33,-999,1.0000
34,-999,1.0000
35,-999,1.0000
36,-999,1.0000
37,-999,1.0000
38,-999,1.0000
39,-999,1.0000
40,-999,1.0000
41,-999,1.0000
42,-999,1.0000
43,-999,1.0000
44,-999,1.0000
45,-999,1.0000
46,-999,1.0000
47,-999,1.0000
48,-999,1.0000
49,-999,1.0000
50,-999,1.0000
51,-999,1.0000
52,-999,0.3767
52,5528,0.5885
52,5632,0.0228
52,5314,0.0120
53,5528,0.0869
53,5556,0.0666
53,5539,0.3944
53,5314,0.4521
54,5539,0.4854
54,5314,0.5146
55,5314,0.4778
55,5539,0.5222
56,5539,0.3371
56,5314,0.6546
56,5418,0.0082
57,5314,0.3585
57,5418,0.5510
57,5539,0.0906
58,5539,0.4605
58,5314,0.4207
58,5418,0.1188
59,5314,0.5289
59,5515,0.3177
59,5418,0.1458
59,5539,0.0076
60,5515,0.2588
60,5418,0.7241
60,5314,0.0170
61,5515,0.0170
61,5418,0.7986
61,5556,0.1843
62,5418,0.7434
62,5556,0.2566
63,5556,0.6129
63,5418,0.3871
64,5418,0.6546
64,5556,0.3454
65,5418,0.7701
65,5556,0.2280
65,5315,0.0019
66,5418,0.4549
66,5315,0.5431
66,5423,0.0019
67,5315,0.4207
67,5418,0.1140
67,5423,0.4635
67,5506,0.0019
68,5506,0.2008
68,5315,0.4305
68,5423,0.3688
69,5506,0.6180
69,5315,0.3390
69,5423,0.0430
70,5423,0.0202
70,5315,0.4624
70,5507,0.0006
70,5506,0.5167
71,5506,1.0000
