EcoTypeID,VegID,ShrubSpecFrac
3306,GFShrub,1
3307,GFShrub,1
3308,GFShrub,1
3309,GFShrub,1
3310,GFShrub,1
3311,GFShrub,1
3312,GFShrub,1
3313,GFShrub,1
3314,GFShrub,1
3315,GFShrub,1
3316,GFShrub,1
3317,GFShrub,1
3318,GFShrub,1
3319,GFShrub,1
3320,GFShrub,1
3321,GFShrub,1
3322,GFShrub,1
3323,GFShrub,1
3324,GFShrub,1
3325,GFShrub,1
3326,GFShrub,1
3327,GFShrub,1
3328,GFShrub,1
3329,GFShrub,1
3330,GFShrub,1
3331,GFShrub,1
3332,GFShrub,1
3333,GFShrub,1
3334,GFShrub,1
3335,GFShrub,1
3336,GFShrub,1
3337,GFShrub,1
3338,GFShrub,1
3339,GFShrub,1
3340,GFShrub,1
3342,GFShrub,1
3343,GFShrub,1
3344,GFShrub,1
3346,GFShrub,1
3347,GFShrub,1
3348,GFShrub,1
3349,GFShrub,1
3350,GFShrub,1
3351,GFShrub,1
3352,GFShrub,1
3353,GFShrub,1
3354,GFShrub,1
3355,GFShrub,1
3356,GFShrub,1
3357,GFShrub,1
3358,GFShrub,1
3359,GFShrub,1
3361,GFShrub,1
3362,GFShrub,1
3363,GFShrub,1
3364,GFShrub,1
3365,GFShrub,1
3366,GFShrub,1
3367,GFShrub,1
3368,GFShrub,1
3369,GFShrub,1
3370,GFShrub,1
3371,GFShrub,1
3372,GFShrub,1
3373,GFShrub,1
3374,GFShrub,1
3375,GFShrub,1
3376,GFShrub,1
3377,GFShrub,1
3378,GFShrub,1
3379,GFShrub,1
3380,GFShrub,1
3381,GFShrub,1
3382,GFShrub,1
3383,GFShrub,1
3384,GFShrub,1
3385,GFShrub,1
3386,GFShrub,1
3387,GFShrub,1
3389,GFShrub,1
3390,GFShrub,1
3391,GFShrub,1
3392,GFShrub,1
3393,GFShrub,1
3394,GFShrub,1
3395,GFShrub,1
3396,GFShrub,1
3397,GFShrub,1
3398,GFShrub,1
3399,GFShrub,1
3400,GFShrub,1
3401,GFShrub,1
3402,GFShrub,1
3403,GFShrub,1
3405,GFShrub,1
3406,GFShrub,1
3407,GFShrub,1
3408,GFShrub,1
3409,GFShrub,1
3410,GFShrub,1
3411,GFShrub,1
3412,GFShrub,1
3413,GFShrub,1
3414,GFShrub,1
3415,GFShrub,1
3416,GFShrub,1
3417,GFShrub,1
3418,GFShrub,1
3419,GFShrub,1
3420,GFShrub,1
3421,GFShrub,1
3422,GFShrub,1
3423,GFShrub,1
3425,GFShrub,1
3426,GFShrub,1
3428,GFShrub,1
3429,GFShrub,1
3430,GFShrub,1
3433,GFShrub,1
3434,GFShrub,1
3435,GFShrub,1
3436,GFShrub,1
3437,GFShrub,1
3438,GFShrub,1
3439,GFShrub,1
3440,GFShrub,1
3442,GFShrub,1
3443,GFShrub,1
3444,GFShrub,1
3446,GFShrub,1
3447,GFShrub,1
3448,GFShrub,1
3449,GFShrub,1
3450,GFShrub,1
3451,GFShrub,1
3452,GFShrub,1
3453,GFShrub,1
3454,GFShrub,1
3455,GFShrub,1
3456,GFShrub,1
3457,GFShrub,1
3458,GFShrub,1
3459,GFShrub,1
3460,GFShrub,1
3461,GFShrub,1
3462,GFShrub,1
3463,GFShrub,1
3464,GFShrub,1
3466,GFShrub,1
3467,GFShrub,1
3468,GFShrub,1
3469,GFShrub,1
3470,GFShrub,1
3471,GFShrub,1
3472,GFShrub,1
3473,GFShrub,1
3474,GFShrub,1
3475,GFShrub,1
3476,GFShrub,1
3477,GFShrub,1
3478,GFShrub,1
3479,GFShrub,1
3480,GFShrub,1
3481,GFShrub,1
3482,GFShrub,1
3483,GFShrub,1
3485,GFShrub,1
3486,GFShrub,1
3488,GFShrub,1
3489,GFShrub,1
3490,GFShrub,1
3491,GFShrub,1
3492,GFShrub,1
3493,GFShrub,1
3494,GFShrub,1
3495,GFShrub,1
3497,GFShrub,1
3498,GFShrub,1
3499,GFShrub,1
3501,GFShrub,1
3502,GFShrub,1
3503,GFShrub,1
3504,GFShrub,1
3506,GFShrub,1
3507,GFShrub,1
3509,GFShrub,1
3510,GFShrub,1
3511,GFShrub,1
3512,GFShrub,1
3513,GFShrub,1
3517,GFShrub,1
3518,GFShrub,1
3519,GFShrub,1
3522,GFShrub,1
3523,GFShrub,1
3524,GFShrub,1
3525,GFShrub,1
3526,GFShrub,1
3527,GFShrub,1
3528,GFShrub,1
3529,GFShrub,1
3531,GFShrub,1
3532,GFShrub,1
3533,GFShrub,1
3534,GFShrub,1
3535,GFShrub,1
3536,GFShrub,1
3538,GFShrub,1
3539,GFShrub,1
3540,GFShrub,1
3546,GFShrub,1
3550,GFShrub,1
3551,GFShrub,1
3552,GFShrub,1
3553,GFShrub,1
3554,GFShrub,1
3555,GFShrub,1
3556,GFShrub,1
3557,GFShrub,1
3558,GFShrub,1
3559,GFShrub,1
3560,GFShrub,1
3561,GFShrub,1
3562,GFShrub,1
3563,GFShrub,1
3564,GFShrub,1
3565,GFShrub,1
3566,GFShrub,1
3567,GFShrub,1
3568,GFShrub,1
3569,GFShrub,1
3570,GFShrub,1
3571,GFShrub,1
3572,GFShrub,1
3573,GFShrub,1
3574,GFShrub,1
3575,GFShrub,1
3576,GFShrub,1
3577,GFShrub,1
3578,GFShrub,1
3579,GFShrub,1
3580,GFShrub,1
3581,GFShrub,1
3582,GFShrub,1
3583,GFShrub,1
3584,GFShrub,1
3585,GFShrub,1
3586,GFShrub,1
3587,GFShrub,1
3588,GFShrub,1
3589,GFShrub,1
3590,GFShrub,1
3591,GFShrub,1
3600,GFShrub,1
3601,GFShrub,1
3602,GFShrub,1
3603,GFShrub,1
3604,GFShrub,1
3605,GFShrub,1
3606,GFShrub,1
3607,GFShrub,1
3608,GFShrub,1
3609,GFShrub,1
3610,GFShrub,1
3611,GFShrub,1
3612,GFShrub,1
3631,GFShrub,1
3633,GFShrub,1
3634,GFShrub,1
3635,GFShrub,1
3636,GFShrub,1
3638,GFShrub,1
3639,GFShrub,1
3640,GFShrub,1
3641,GFShrub,1
3642,GFShrub,1
3643,GFShrub,1
3644,GFShrub,1
3645,GFShrub,1
3646,GFShrub,1
3648,GFShrub,1
3649,GFShrub,1
3650,GFShrub,1
3651,GFShrub,1
3652,GFShrub,1
3653,GFShrub,1
3654,GFShrub,1
3671,GFShrub,1
3672,GFShrub,1
3674,GFShrub,1
3675,GFShrub,1
3677,GFShrub,1
3678,GFShrub,1
3679,GFShrub,1
3680,GFShrub,1
3682,GFShrub,1
3683,GFShrub,1
3684,GFShrub,1
3685,GFShrub,1
3686,GFShrub,1
3687,GFShrub,1
3688,GFShrub,1
3689,GFShrub,1
3690,GFShrub,1
3691,GFShrub,1
3692,GFShrub,1
3699,GFShrub,1
3709,GFShrub,1
3718,GFShrub,1
3719,GFShrub,1
3720,GFShrub,1
3725,GFShrub,1
3730,GFShrub,1
3731,GFShrub,1
3736,GFShrub,1
3737,GFShrub,1
3738,GFShrub,1
3739,GFShrub,1
3740,GFShrub,1
3741,GFShrub,1
3742,GFShrub,1
3743,GFShrub,1
3744,GFShrub,1
3745,GFShrub,1
3746,GFShrub,1
3747,GFShrub,1
3748,GFShrub,1
3749,GFShrub,1
3750,GFShrub,1
3751,GFShrub,1
3752,GFShrub,1
3753,GFShrub,1
3754,GFShrub,1
3755,GFShrub,1
3756,GFShrub,1
3757,GFShrub,1
3758,GFShrub,1
3759,GFShrub,1
3760,GFShrub,1
3761,GFShrub,1
3762,GFShrub,1
3763,GFShrub,1
3764,GFShrub,1
3765,GFShrub,1
3766,GFShrub,1
3767,GFShrub,1
3768,GFShrub,1
3769,GFShrub,1
3770,GFShrub,1
3771,GFShrub,1
3772,GFShrub,1
3773,GFShrub,1
3774,GFShrub,1
3775,GFShrub,1
3776,GFShrub,1
3777,GFShrub,1
3778,GFShrub,1
3779,GFShrub,1
3780,GFShrub,1
3781,GFShrub,1
3782,GFShrub,1
3783,GFShrub,1
3784,GFShrub,1
3785,GFShrub,1
3786,GFShrub,1
3787,GFShrub,1
3788,GFShrub,1
3789,GFShrub,1
3790,GFShrub,1
3791,GFShrub,1
3792,GFShrub,1
3793,GFShrub,1
3794,GFShrub,1
3795,GFShrub,1
3796,GFShrub,1
3797,GFShrub,1
3798,GFShrub,1
3799,GFShrub,1
3800,GFShrub,1
3801,GFShrub,1
3802,GFShrub,1
3803,GFShrub,1
3804,GFShrub,1
3805,GFShrub,1
3806,GFShrub,1
3807,GFShrub,1
3808,GFShrub,1
3809,GFShrub,1
3810,GFShrub,1
3811,GFShrub,1
3812,GFShrub,1
3813,GFShrub,1
3814,GFShrub,1
3815,GFShrub,1
3816,GFShrub,1
3817,GFShrub,1
3818,GFShrub,1
3819,GFShrub,1
3820,GFShrub,1
3821,GFShrub,1
3822,GFShrub,1
3823,GFShrub,1
3824,GFShrub,1
3825,GFShrub,1
3826,GFShrub,1
3827,GFShrub,1
3828,GFShrub,1
3830,GFShrub,1
3832,GFShrub,1
3833,GFShrub,1
3834,GFShrub,1
3835,GFShrub,1
3836,GFShrub,1
3837,GFShrub,1
3838,GFShrub,1
3839,GFShrub,1
3840,GFShrub,1
3841,GFShrub,1
3842,GFShrub,1
3843,GFShrub,1
3845,GFShrub,1
3846,GFShrub,1
3847,GFShrub,1
3848,GFShrub,1
3849,GFShrub,1
3850,GFShrub,1
3852,GFShrub,1
3853,GFShrub,1
3854,GFShrub,1
3855,GFShrub,1
3856,GFShrub,1
3857,GFShrub,1
3858,GFShrub,1
3859,GFShrub,1
3860,GFShrub,1
3861,GFShrub,1
3862,GFShrub,1
3863,GFShrub,1
3864,GFShrub,1
3865,GFShrub,1
3866,GFShrub,1
3867,GFShrub,1
3868,GFShrub,1
3869,GFShrub,1
3870,GFShrub,1
3871,GFShrub,1
3872,GFShrub,1
3873,GFShrub,1
3874,GFShrub,1
3875,GFShrub,1
3876,GFShrub,1
3877,GFShrub,1
3878,GFShrub,1
3879,GFShrub,1
3880,GFShrub,1
3881,GFShrub,1
3882,GFShrub,1
3883,GFShrub,1
3884,GFShrub,1
3885,GFShrub,1
3886,GFShrub,1
3887,GFShrub,1
3900,GFShrub,1
3901,GFShrub,1
3902,GFShrub,1
3903,GFShrub,1
3904,GFShrub,1
3905,GFShrub,1
3906,GFShrub,1
3907,GFShrub,1
3908,GFShrub,1
3909,GFShrub,1
3910,GFShrub,1
3911,GFShrub,1
3912,GFShrub,1
3913,GFShrub,1
3914,GFShrub,1
3915,GFShrub,1
3916,GFShrub,1
3917,GFShrub,1
3918,GFShrub,1
3919,GFShrub,1
3920,GFShrub,1
3921,GFShrub,1
3922,GFShrub,1
3923,GFShrub,1
3924,GFShrub,1
3925,GFShrub,1
3926,GFShrub,1
3927,GFShrub,1
3928,GFShrub,1
3929,GFShrub,1
3930,GFShrub,1
3931,GFShrub,1
3932,GFShrub,1
3933,GFShrub,1
3934,GFShrub,1
3935,GFShrub,1
3936,GFShrub,1
3937,GFShrub,1
3938,GFShrub,1
3939,GFShrub,1
3940,GFShrub,1
3941,GFShrub,1
3942,GFShrub,1
3943,GFShrub,1
3944,GFShrub,1
3945,GFShrub,1
3946,GFShrub,1
3947,GFShrub,1
3948,GFShrub,1
3949,GFShrub,1
3950,GFShrub,1
3951,GFShrub,1
3952,GFShrub,1
3953,GFShrub,1
3954,GFShrub,1
3955,GFShrub,1
3956,GFShrub,1
3957,GFShrub,1
3958,GFShrub,1
3959,GFShrub,1
3960,GFShrub,1
3961,GFShrub,1
3962,GFShrub,1
3963,GFShrub,1
3964,GFShrub,1
3965,GFShrub,1
3966,GFShrub,1
3967,GFShrub,1
3968,GFShrub,1
3969,GFShrub,1
3970,GFShrub,1
3971,GFShrub,1
3972,GFShrub,1
3973,GFShrub,1
3974,GFShrub,1
3975,GFShrub,1
3976,GFShrub,1
3977,GFShrub,1
3978,GFShrub,1
3979,GFShrub,1
3980,GFShrub,1
3981,GFShrub,1
3982,GFShrub,1
3983,GFShrub,1
3984,GFShrub,1
3985,GFShrub,1
3986,GFShrub,1
3987,GFShrub,1
3988,GFShrub,1
3989,GFShrub,1
3990,GFShrub,1
3991,GFShrub,1
3992,GFShrub,1
3993,GFShrub,1
3994,GFShrub,1
3995,GFShrub,1
3996,GFShrub,1
3997,GFShrub,1
3998,GFShrub,1
3999,GFShrub,1
5001,GFShrub,1
5002,GFShrub,1
5003,GFShrub,1
5004,GFShrub,1
5005,GFShrub,1
5006,GFShrub,1
5007,GFShrub,1
5008,GFShrub,1
5009,GFShrub,1
5010,GFShrub,1
5011,GFShrub,1
5012,GFShrub,1
5013,GFShrub,1
5014,GFShrub,1
5015,GFShrub,1
5016,GFShrub,1
5017,GFShrub,1
5018,GFShrub,1
5019,GFShrub,1
5020,GFShrub,1
5021,GFShrub,1
5022,GFShrub,1
5023,GFShrub,1
5024,GFShrub,1
5025,GFShrub,1
5026,GFShrub,1
5027,GFShrub,1
5028,GFShrub,1
5029,GFShrub,1
5030,GFShrub,1
5031,GFShrub,1
5032,GFShrub,1
5033,GFShrub,1
5034,GFShrub,1
5035,GFShrub,1
5036,GFShrub,1
5037,GFShrub,1
5038,GFShrub,1
5039,GFShrub,1
5040,GFShrub,1
5041,GFShrub,1
5042,GFShrub,1
5043,GFShrub,1
5044,GFShrub,1
5045,GFShrub,1
5046,GFShrub,1
5047,GFShrub,1
5048,GFShrub,1
5049,GFShrub,1
5050,GFShrub,1
5051,GFShrub,1
5052,GFShrub,1
5053,GFShrub,1
5054,GFShrub,1
5055,GFShrub,1
5056,GFShrub,1
5057,GFShrub,1
5058,GFShrub,1
5059,GFShrub,1
5060,GFShrub,1
5061,GFShrub,1
5062,GFShrub,1
5063,GFShrub,1
5064,GFShrub,1
5065,GFShrub,1
5066,GFShrub,1
5067,GFShrub,1
5068,GFShrub,1
5069,GFShrub,1
5070,GFShrub,1
5071,GFShrub,1
5072,GFShrub,1
5073,GFShrub,1
5074,GFShrub,1
5075,GFShrub,1
5076,GFShrub,1
5077,GFShrub,1
5078,GFShrub,1
5079,GFShrub,1
5080,GFShrub,1
5081,GFShrub,1
5082,GFShrub,1
5083,GFShrub,1
5084,GFShrub,1
5085,GFShrub,1
5086,GFShrub,1
5087,GFShrub,1
5088,GFShrub,1
5089,GFShrub,1
5090,GFShrub,1
5091,GFShrub,1
5092,GFShrub,1
5093,GFShrub,1
5094,GFShrub,1
5095,GFShrub,1
5096,GFShrub,1
5097,GFShrub,1
5098,GFShrub,1
5099,GFShrub,1
5100,GFShrub,1
5101,GFShrub,1
5102,GFShrub,1
5103,GFShrub,1
5104,GFShrub,1
5105,GFShrub,1
5106,GFShrub,1
5107,GFShrub,1
5108,GFShrub,1
5109,GFShrub,1
5110,GFShrub,1
5111,GFShrub,1
5112,GFShrub,1
5113,GFShrub,1
5114,GFShrub,1
5115,GFShrub,1
5116,GFShrub,1
5117,GFShrub,1
5118,GFShrub,1
5119,GFShrub,1
5120,GFShrub,1
5121,GFShrub,1
5122,GFShrub,1
5123,GFShrub,1
5124,GFShrub,1
5125,GFShrub,1
5126,GFShrub,1
5127,GFShrub,1
5128,GFShrub,1
5129,GFShrub,1
5130,GFShrub,1
5131,GFShrub,1
5132,GFShrub,1
5133,GFShrub,1
5134,GFShrub,1
5135,GFShrub,1
5136,GFShrub,1
5137,GFShrub,1
5138,GFShrub,1
5139,GFShrub,1
5140,GFShrub,1
5141,GFShrub,1
5142,GFShrub,1
5143,GFShrub,1
5144,GFShrub,1
5145,GFShrub,1
5146,GFShrub,1
5147,GFShrub,1
5148,GFShrub,1
5149,GFShrub,1
5150,GFShrub,1
5151,GFShrub,1
5152,GFShrub,1
5153,GFShrub,1
5154,GFShrub,1
5155,GFShrub,1
5156,GFShrub,1
5157,GFShrub,1
5158,GFShrub,1
5159,GFShrub,1
5160,GFShrub,1
5161,GFShrub,1
5162,GFShrub,1
5163,GFShrub,1
5164,GFShrub,1
5165,GFShrub,1
5166,GFShrub,1
5167,GFShrub,1
5168,GFShrub,1
5169,GFShrub,1
5170,GFShrub,1
5171,GFShrub,1
5172,GFShrub,1
5173,GFShrub,1
5174,GFShrub,1
5175,GFShrub,1
5176,GFShrub,1
5177,GFShrub,1
5178,GFShrub,1
5179,GFShrub,1
5180,GFShrub,1
5181,GFShrub,1
5182,GFShrub,1
5183,GFShrub,1
5184,GFShrub,1
5185,GFShrub,1
5186,GFShrub,1
5187,GFShrub,1
5188,GFShrub,1
5189,GFShrub,1
5190,GFShrub,1
5191,GFShrub,1
5192,GFShrub,1
5193,GFShrub,1
5194,GFShrub,1
5195,GFShrub,1
5196,GFShrub,1
5197,GFShrub,1
5198,GFShrub,1
5199,GFShrub,1
5200,GFShrub,1
5201,GFShrub,1
5202,GFShrub,1
5203,GFShrub,1
5204,GFShrub,1
5205,GFShrub,1
5206,GFShrub,1
5207,GFShrub,1
5208,GFShrub,1
5209,GFShrub,1
5210,GFShrub,1
5211,GFShrub,1
5212,GFShrub,1
5213,GFShrub,1
5214,GFShrub,1
5215,GFShrub,1
5216,GFShrub,1
5217,GFShrub,1
5218,GFShrub,1
5219,GFShrub,1
5220,GFShrub,1
5221,GFShrub,1
5222,GFShrub,1
5223,GFShrub,1
5224,GFShrub,1
5225,GFShrub,1
5226,GFShrub,1
5227,GFShrub,1
5228,GFShrub,1
5229,GFShrub,1
5230,GFShrub,1
5231,GFShrub,1
5232,GFShrub,1
5233,GFShrub,1
5234,GFShrub,1
5235,GFShrub,1
5236,GFShrub,1
5237,GFShrub,1
5238,GFShrub,1
5239,GFShrub,1
5240,GFShrub,1
5241,GFShrub,1
5242,GFShrub,1
5243,GFShrub,1
5244,GFShrub,1
5245,GFShrub,1
5246,GFShrub,1
5247,GFShrub,1
5248,GFShrub,1
5249,GFShrub,1
5250,GFShrub,1
5251,GFShrub,1
5252,GFShrub,1
5253,GFShrub,1
5254,GFShrub,1
5255,GFShrub,1
5256,GFShrub,1
5257,GFShrub,1
5258,GFShrub,1
5259,GFShrub,1
5260,GFShrub,1
5261,GFShrub,1
5262,GFShrub,1
5263,GFShrub,1
5264,GFShrub,1
5265,GFShrub,1
5266,GFShrub,1
5267,GFShrub,1
5268,GFShrub,1
5269,GFShrub,1
5270,GFShrub,1
5271,GFShrub,1
5272,GFShrub,1
5273,GFShrub,1
5274,GFShrub,1
5275,GFShrub,1
5276,GFShrub,1
5277,GFShrub,1
5278,GFShrub,1
5279,GFShrub,1
5280,GFShrub,1
5281,GFShrub,1
5282,GFShrub,1
5283,GFShrub,1
5284,GFShrub,1
5285,GFShrub,1
5286,GFShrub,1
5287,GFShrub,1
5288,GFShrub,1
5289,GFShrub,1
5290,GFShrub,1
5291,GFShrub,1
5292,GFShrub,1
5293,GFShrub,1
5294,GFShrub,1
5295,GFShrub,1
5296,GFShrub,1
5297,GFShrub,1
5298,GFShrub,1
5299,GFShrub,1
5300,GFShrub,1
5301,GFShrub,1
5302,GFShrub,1
5303,GFShrub,1
5304,GFShrub,1
5305,GFShrub,1
5306,GFShrub,1
5307,GFShrub,1
5308,GFShrub,1
5309,GFShrub,1
5310,GFShrub,1
5311,GFShrub,1
5312,GFShrub,1
5313,GFShrub,1
5314,GFShrub,1
5315,GFShrub,1
5316,GFShrub,1
5317,GFShrub,1
5318,GFShrub,1
5319,GFShrub,1
5320,GFShrub,1
5321,GFShrub,1
5322,GFShrub,1
5323,GFShrub,1
5324,GFShrub,1
5325,GFShrub,1
5326,GFShrub,1
5327,GFShrub,1
5328,GFShrub,1
5329,GFShrub,1
5330,GFShrub,1
5331,GFShrub,1
5332,GFShrub,1
5333,GFShrub,1
5334,GFShrub,1
5335,GFShrub,1
5336,GFShrub,1
5337,GFShrub,1
5338,GFShrub,1
5339,GFShrub,1
5340,GFShrub,1
5341,GFShrub,1
5342,GFShrub,1
5343,GFShrub,1
5344,GFShrub,1
5345,GFShrub,1
5346,GFShrub,1
5347,GFShrub,1
5348,GFShrub,1
5349,GFShrub,1
5350,GFShrub,1
5351,GFShrub,1
5352,GFShrub,1
5353,GFShrub,1
5354,GFShrub,1
5355,GFShrub,1
5356,GFShrub,1
5357,GFShrub,1
5358,GFShrub,1
5359,GFShrub,1
5360,GFShrub,1
5361,GFShrub,1
5362,GFShrub,1
5363,GFShrub,1
5364,GFShrub,1
5365,GFShrub,1
5366,GFShrub,1
5367,GFShrub,1
5368,GFShrub,1
5369,GFShrub,1
